,Maywood,Cudahy,Huntington Park,West Hollywood,San Francisco,Bell Gardens,Lawndale,Hawaiian Gardens,Lynwood,Bell,Hawthorne,Hermosa Beach,Daly City,South Gate,Bellflower,Inglewood,Stanton,Santa Ana,El Monte,La Puente,Paramount,Baldwin Park,East Palo Alto,San Pablo,Norwalk,Alhambra,Berkeley,Redondo Beach,Lomita,Santa Monica,Albany,Rosemead,Artesia,Gardena,San Fernando,Compton,San Gabriel,Garden Grove,Long Beach,Downey,Westminster,Manhattan Beach,Temple City,La Palma,Lakewood,La Habra,Foster City,Emeryville,Los Angeles,National City,San Mateo,Monterey Park,Placentia,Greenfield,Buena Park,Watsonville,Culver City,Pico Rivera,South Pasadena,San Bruno,Montebello,Oxnard,Cypress,Torrance,Huntington Beach,South El Monte,Costa Mesa,Oakland,South San Francisco,Alameda,El Cajon,Suisun City,Tustin,Covina,Campbell,Anaheim,Montclair,Davis,Millbrae,West Covina,Parlier,Lemon Grove,Burlingame,Pomona,Salinas,Aliso Viejo,Santa Paula,Sunnyvale,San Leandro,El Cerrito,Santa Clara,Imperial Beach,Glendale,La Mesa,Piedmont,Capitola,La Mirada,Mountain View,Fountain Valley,Fullerton,Beverly Hills,Pasadena,Burbank,Rohnert Park,Soledad,Citrus Heights,Whittier,Ceres,Grover Beach,Cerritos,Belmont,Riverbank,Modesto,Orange,Guadalupe,San Jose,Mission Viejo,Pacific Grove,Laguna Woods,Cupertino,Arcadia,San Carlos,Dana Point,Holtville,Carpinteria,Vista,Signal Hill,Chula Vista,Milpitas,Ventura,Newman,Carson,Port Hueneme,Azusa,Orange Cove,Hollister,McFarland,Sacramento,Reedley,Stockton,Upland,Santa Cruz,Pleasant Hill,Farmersville,San Anselmo,Fontana,Atwater,Calexico,Lodi,Santa Barbara,Laguna Hills,Live Oak,Selma,Lindsay,Los Altos,Fillmore,Yuba City,Rialto,Fresno,Sanger,Santa Maria,Lake Forest,Napa,Huron,Laguna Niguel,Gonzales,Exeter,Kerman,Rancho Cucamonga,Belvedere,Clovis,Eastvale,Santa Rosa,Turlock,Oceanside,Kingsburg,Petaluma,American Canyon,San Diego,Arvin,Concord,San Ramon,Sebastopol,Galt,Sausalito,Larkspur,Redwood City,Corona,Escondido,Madera,
Garden Grove,24.236,22.876,30.154,36.622,410.138,21.231,29.022,14.002,27.11,23.598,30.43,31.1,416.701,28.067,19.116,34.629,5.089,6.6,28.599,30.481,21.579,29.633,383.973,410.837,13.602,30.523,402.363,30.245,25.947,44.017,405.4,29.191,16.725,26.427,50.108,24.324,30.84,0,16.381,18.124,4.022,31.804,32.525,11.006,17.528,11.141,403.226,400.4081,28.876,100.706,405.223,28.968,12.302,131.431,8.414,353.889,39.317,20.621,30.42,413.851,22.847,94.69,11.314,28.651,12.924,25.674,9.422,398.875,414.56,395.843,101.073,414.621,9.41,32.52,368.981,5.369,33.539,424.071,411.138,30.055,232.934,100.421,409.251,28.484,331.601,24.474,92.903,377.891,389.694,406.519,372.968,107.977,36.306,98.04,399.479,368.942,11.765,379.741,5.46,7.572,45.479,33.427,38.443,449.528,305.299,427.889,18.168,335.398,208.313,13.883,394.51,346.562,339.935,7.062,198.669,368.196,23.377,350.514,20.607,374.119,37.16,392.385,32.802,210.296,117.444,67.449,16.389,101.734,373.511,101.288,314.778,21.652,96.852,36.392,237.302,332.502,163.058,411.489,233.486,365.101,36.71,374.162,394.559,213.906,421.228,51.148,309.102,207.699,380.974,128.591,19.962,370.918,230.66,198.327,381.905,83.672,451.726,53.621,245.473,239.183,191.704,20.914,428.92,220.27,28.346,314.409,217.623,261.494,42.352,425.388,250.174,37.21,455.727,326.2841,57.995,225.594,440.001,417.023,94.778,131.347,398.252,380.256,456.402,388.509,425.163,419.893,389.521,28.576,77.772,267.477,
Long Beach,18.537,16.54,18.556,30.393,405.535,16.284,15.926,10.714,13.767,17.098,17.334,18.05,412.052,15.047,12.576,21.533,13.955,21.237,30.266,30.806,10.879,30.813,379.324,406.188,17.362,26.156,397.714,17.149,9.533,30.921,400.751,27.67,15.582,13.331,45.737,10.689,26.473,16.16,0,15.479,13.098,18.708,30.318,18.415,10.454,26.995,398.577,395.759,24.505,111.912,400.574,24.647,29.268,126.782,20.449,349.2401,26.221,21.801,26.053,409.202,23.734,81.594,13.166,15.555,14.762,27.202,20.98,394.226,409.911,391.194,112.279,409.972,24.047,35.111,364.332,25.176,45.856,419.422,406.489,31.235,228.285,111.627,404.602,43.457,326.9521,33.955,88.254,373.242,385.045,401.87,368.319,119.183,31.935,109.246,394.83,364.293,21.545,375.092,16.953,25.354,32.383,29.06,34.072,444.879,300.65,423.24,21.365,330.7491,195.217,16.19,389.861,341.913,335.286,21.699,185.573,363.547,35.918,345.865,33.148,369.47,33.56,387.736,41.395,221.502,104.348,78.655,3.264,112.94,368.862,88.192,310.129,8.556,83.756,36.454,232.653,327.853,158.409,406.84,228.837,360.452,49.027,369.513,389.91,209.257,416.579,66.022,304.453,218.905,376.325,115.495,32.503,366.269,226.011,193.678,377.256,79.023,447.077,65.894,240.824,234.534,178.608,33.714,424.271,215.621,37.262,309.76,212.974,256.845,57.74,420.739,245.525,55.228,451.078,321.635,69.201,220.945,435.352,412.374,105.96,126.698,393.603,375.607,451.753,383.86,420.514,415.244,384.872,46.595,88.978,262.828,
Downey,7.583,5.034,7.05,21.002,394.518,3.151,16.945,8.934,5.298,5.574,16.214,19.816,401.0811,4.847,4.314,17.051,15.455,22.377,15.703,16.73,4.93,16.737,368.353,395.217,4.299,14.903,386.743,20.276,19.913,27.086,389.78,11.25,7.692,14.781,34.488,8.866,15.22,22.231,15.671,0,19.169,21.275,13.324,10.552,7.268,11.497,387.606,384.7881,13.256,116.485,389.603,13.348,20.461,115.811,11.454,338.269,21.37,5.323,14.8,398.231,7.227,73.629,11.825,18.232,24.505,9.269,27.051,383.255,398.94,380.223,116.852,399.001,25.189,21.035,353.361,16.421,31.78,408.451,395.518,17.159,217.314,116.2,393.631,29.335,315.981,40.253,77.283,362.271,374.074,390.899,357.348,123.756,20.686,113.819,383.859,353.322,10.2,364.121,23.024,16.593,23.856,17.807,22.823,433.908,289.679,412.269,6.292,319.778,187.251,8.327,378.89,330.942,324.315,21.352,177.607,352.576,39.156,334.894,36.386,358.499,24.264,376.765,48.581,219.752,96.383,83.228,14.759,117.513,357.891,80.227,299.158,14.403,75.791,22.378,221.682,316.882,147.438,395.869,217.866,349.481,34.951,358.542,378.939,198.286,405.608,51.9,293.482,221.056,365.354,107.53,35.741,355.298,215.04,182.707,366.285,68.052,436.106,51.818,229.853,223.563,170.642,36.693,413.3,204.65,44.125,298.789,202.003,245.874,43.664,409.768,234.554,43.985,440.107,310.6641,73.774,209.974,424.381,401.403,110.557,115.727,382.632,364.636,440.782,372.889,409.543,404.273,373.901,37.834,93.551,251.857,
Westminster,26.997,26.385,27.095,39.382,412.898,23.991,25.963,10.943,24.051,26.943,27.371,28.041,419.4611,25.008,16.057,31.57,3.343,9.09,31.329,32.356,18.52,32.363,386.733,413.597,13.146,33.283,405.123,27.186,22.888,40.958,408.16,31.921,13.666,23.368,52.868,21.265,33.6,4.013,13.322,19.52,0,28.745,35.255,8.726,14.469,13.894,405.986,403.1681,31.636,100.699,407.983,31.728,14.792,134.191,7.348,356.649,36.258,23.351,33.18,416.611,26.874,91.631,8.255,25.592,7.841,28.404,9.767,401.635,417.32,398.603,101.066,417.381,11.9,35.01,371.741,13.299,36.029,426.831,413.898,32.785,235.694,100.414,412.011,30.974,334.3611,22.742,95.663,380.651,392.454,409.2791,375.728,107.97,39.066,98.033,402.239,371.702,10.946,382.501,5.74,12.288,42.42,36.187,41.203,452.288,308.059,430.649,22.915,338.1581,205.254,14.88,397.27,349.322,342.695,9.552,195.61,370.956,25.867,353.274,23.097,376.879,39.89,395.145,30.182,210.289,114.385,67.442,13.33,101.727,376.271,98.229,317.538,18.593,93.793,38.004,240.062,335.262,165.818,414.249,236.246,367.861,39.2,376.922,397.319,216.666,423.988,53.638,311.862,207.692,383.734,125.532,22.452,373.678,233.42,201.087,384.665,86.432,454.486,56.111,248.233,241.943,188.645,23.404,431.6801,223.03,26.049,317.169,220.383,264.254,44.842,428.148,252.934,39.7,458.487,329.044,57.988,228.354,442.761,419.783,94.771,134.107,401.012,383.016,459.162,391.269,427.923,422.653,392.281,31.066,77.765,270.237,
Manhattan Beach,24.334,22.337,18.117,17.341,392.437,22.081,4.003,24.762,16.279,22.895,5.561,1.855,399,17.236,19.359,8.481,29.229,36.511,35.801,36.828,17.79,36.835,366.272,393.136,23.384,31.952,384.662,3.322,10.306,11.927,387.699,33.466,22.365,6.057,33.561,14.806,32.27,31.434,18.321,21.501,28.372,0,36.114,25.198,20.194,30.652,385.525,382.707,20.99,127.186,387.522,30.397,36.005,113.73,27.232,336.188,13.169,27.823,28.243,396.15,29.53,68.542,26.471,8.387,33.708,32.876,36.254,381.174,396.859,378.142,127.553,396.92,39.321,41.133,351.28,31.959,51.878,406.37,393.437,37.257,215.233,126.901,391.55,49.433,313.9001,49.229,75.202,360.19,371.993,388.818,355.267,134.457,29.251,124.52,381.778,351.241,27.256,362.04,32.227,32.137,19.331,30.645,31.387,431.827,287.598,410.188,27.387,317.6971,182.165,22.973,376.809,328.861,322.234,36.973,172.521,350.495,51.192,332.813,48.422,356.418,40.107,374.684,56.669,234.758,91.296,93.929,17.308,128.214,355.81,75.14,297.077,10.548,70.704,42.476,219.601,314.801,145.357,393.788,215.785,347.4,55.049,356.461,376.858,196.205,403.527,71.998,291.401,234.179,363.273,102.443,47.777,353.217,212.959,180.626,364.204,65.971,434.025,71.916,227.772,221.482,165.556,48.988,411.219,202.569,52.536,296.708,199.922,243.793,63.762,407.687,232.473,62.011,438.026,308.583,84.475,207.893,422.3,399.322,121.258,113.646,380.551,362.555,438.701,370.808,407.462,402.192,371.82,53.378,104.252,249.776,
Temple City,14.468,16.945,17.06,21.652,390.297,16.677,29.956,24.628,20.57,15.25,29.225,34.874,396.86,18.955,22.536,25.898,28.884,35.806,3.593,10.952,22.401,7.413,364.133,390.996,19.058,3.957,382.522,35.334,35.121,30.416,385.559,2.597,23.386,28.183,29.751,23.924,2.869,37.925,30.73,13.537,34.863,34.286,0,26.246,24.542,20.974,383.385,380.567,13.906,137.364,385.382,7.244,30.199,111.591,24.883,334.049,24.7,8.618,6.126,394.01,9.399,71.82,25.704,33.179,40.199,5.256,44.412,379.034,394.719,376.002,136.927,394.781,38.618,13.51,349.141,29.85,24.255,404.23,391.297,9.634,213.094,136.865,389.41,21.81,311.761,53.682,73.063,358.051,369.853,386.678,353.128,144.636,13.913,134.445,379.638,349.102,19.817,359.901,38.718,24.541,24.591,7.643,18.874,429.687,285.459,408.049,12.033,315.558,185.442,24.021,374.67,326.722,320.095,36.17,175.798,348.356,52.585,330.674,49.815,354.279,3.38,372.545,62.01,212.227,94.574,100.082,29.817,140.001,353.671,78.418,294.938,29.461,73.982,10.074,217.462,312.662,143.218,391.649,213.646,345.261,27.426,354.322,374.718,194.066,401.387,39.596,289.262,213.531,361.1341,105.721,49.17,351.078,210.82,178.487,362.065,63.832,431.886,44.293,225.633,219.343,168.833,50.122,409.079,200.43,57.554,294.569,197.783,241.654,31.36,405.547,230.334,37.484,435.886,306.4441,87.203,205.754,420.16,397.182,123.986,111.507,378.411,360.415,436.561,368.669,405.322,400.052,369.681,38.374,104.517,247.637,
La Palma,16.295,17.302,18.012,28.681,402.197,13.29,22.175,3.967,14.968,17.86,23.368,22.843,408.7601,15.925,6.768,24.205,5.603,14.175,22.246,14.542,9.231,23.28,376.032,402.8961,5.661,22.582,394.422,23.303,22.94,34.765,397.459,22.838,3.385,17.808,42.167,13.602,22.899,10.806,18.74,10.437,8.726,23.368,26.172,0,6.036,10.038,395.285,392.4671,20.935,108.283,397.282,21.027,12.265,123.49,3.492,345.9481,30.708,14.268,22.479,405.91,17.791,81.308,2.267,21.259,16.865,19.321,22.781,390.934,406.619,387.902,108.65,406.68,16.987,27.578,361.04,8.219,33.502,416.13,403.1971,23.702,224.993,107.998,401.3101,28.447,323.66,32.051,84.962,369.95,381.7531,398.5781,365.027,115.554,28.365,105.617,391.538,361.001,5.976,371.8,13.855,8.397,31.535,25.486,30.502,441.587,297.358,419.948,9.382,327.457,194.93,3.47,386.569,338.621,331.994,13.15,185.286,360.255,30.954,342.573,28.184,366.178,30.807,384.444,40.379,211.018,104.062,75.026,13.872,109.311,365.57,87.906,306.837,17.472,83.47,28.921,229.361,324.561,155.117,403.548,225.545,357.16,36.673,366.221,386.618,205.965,413.287,52.209,301.161,212.322,373.0331,115.209,27.539,362.977,222.719,190.386,373.964,75.731,443.785,54.682,237.532,231.242,178.321,28.491,420.9791,212.329,35.923,306.468,209.682,253.553,42.315,417.4471,242.233,38.271,447.786,318.343,65.572,217.653,432.0601,409.082,102.355,123.406,390.311,372.315,448.4611,380.568,417.222,411.952,381.58,29.638,85.349,259.536,
Lakewood,15.484,13.487,15.503,29.191,402.707,13.231,17.288,4.162,9.099,14.045,19.437,17.956,409.2701,11.994,2.674,20.274,10.931,21.301,21.138,22.165,4.344,22.172,376.542,403.406,7.881,23.103,394.932,18.416,15.636,31.477,397.969,21.73,3.885,12.921,42.677,8.715,23.42,17.344,10.881,7.26,14.282,18.481,25.064,6.053,0,17.164,395.795,392.9771,21.445,115.409,397.792,21.548,19.391,124,10.618,346.458,26.777,13.16,23,406.42,16.683,82.15,6.498,16.372,16.708,18.213,22.164,391.444,407.129,388.412,115.776,407.19,24.113,26.47,361.55,15.345,37.215,416.64,403.707,22.594,225.503,115.124,401.82,34.77,324.17,35.139,85.472,370.46,382.263,399.088,365.537,122.68,28.875,112.743,392.048,361.511,11.714,372.31,18.137,15.523,32.939,26.007,31.012,442.097,297.868,420.458,12.724,327.967,195.773,6.359,387.079,339.131,332.504,20.276,186.129,360.765,38.08,343.083,35.31,366.688,29.699,384.954,42.579,218.144,104.904,82.152,5.83,116.437,366.08,88.748,307.347,11.341,84.312,27.813,229.871,325.071,155.627,404.058,226.055,357.67,40.386,366.731,387.128,206.475,413.797,57.335,301.671,219.448,373.543,116.051,34.665,363.487,223.229,190.896,374.474,76.241,444.295,57.253,238.042,231.752,179.164,35.617,421.489,212.839,38.446,306.978,210.192,254.063,49.099,417.957,242.743,45.397,448.296,318.8531,72.698,218.163,432.57,409.592,109.481,123.916,390.821,372.825,448.971,381.078,417.7321,412.462,382.09,36.764,92.475,260.046,
La Habra,18.09,15.126,19.261,30.475,403.992,15.085,30.499,17.228,17.142,17.452,25.542,31.167,410.5551,18.099,15.092,26.379,10.92,16.089,18.383,9.554,17.555,19.417,377.827,404.691,7.614,22.771,396.217,31.627,31.264,41.9,399.254,18.865,11.483,26.132,43.962,21.926,21.197,17.88,27.064,11.494,13.922,31.692,20.939,9.732,17.098,0,397.08,394.2621,22.729,110.193,399.077,22.07,8.439,125.285,6.919,347.743,36.184,9.637,24.94,407.705,12.724,83.102,12.019,29.583,21.496,15.347,24.691,392.729,408.414,389.697,110.56,408.475,18.897,14.814,362.835,8.096,21.525,417.925,404.992,11.998,226.788,109.908,403.105,16.47,325.455,33.961,86.757,371.745,383.548,400.373,366.822,117.464,30.16,107.527,393.333,362.796,5.295,373.595,22.814,5.071,38.67,32.806,32.297,443.382,299.153,421.743,6.717,329.252,196.724,10.977,388.364,340.416,333.789,14.41,187.08,362.05,32.864,344.368,30.094,367.973,26.944,386.239,42.289,204.831,105.856,76.936,22.757,111.221,367.365,89.7,308.632,25.796,85.264,24.378,231.156,326.356,156.912,405.343,227.34,358.955,24.696,368.016,388.413,207.76,415.082,38.715,302.956,206.135,374.828,117.003,29.449,364.772,224.514,192.181,375.759,77.526,445.58,41.563,239.327,233.037,180.115,30.401,422.774,214.124,37.833,308.263,211.477,255.348,30.338,419.242,244.028,30.937,449.581,320.138,67.482,219.448,433.855,410.877,104.265,125.201,392.106,374.11,450.256,382.363,419.017,413.747,383.375,28.704,94.847,261.331,
Foster City,382.554,385.032,380.924,370.861,22.298,384.795,383.519,395.358,388.657,383.336,382.274,385.664,17.644,387.042,393.266,378.624,399.587,406.509,387.19,394.74,390.488,391.101,13.029,41.233,389.761,379.855,32.725,386.552,390.106,375.271,35.796,384.706,394.116,387.352,354.678,390.032,382.16,403.14,398.121,387.169,405.593,385.073,383.359,395.712,395.272,402.027,0,32.477,374.721,500.617,3.681,381.526,404.593,279.333,395.586,69.369,374.522,389.789,377.774,12.308,384.27,344.151,396.407,388.187,410.929,387.738,415.115,28.34,13.017,25.308,500.984,69.92,409.321,393.2721,32.906,400.553,405.791,95.632,9.595,392.065,198.392,500.332,7.708,402.245,87.701,424.385,367.118,21.935,20.688,36.915,26.729,507.8881,370.243,497.951,31.466,57.362,394.332,18.967,409.448,400.725,373.361,375.997,365.624,70.213,113.131,122.588,389.274,89.301,228.026,394.751,5.676,87.695,85.015,405.484,241.136,29.774,423.288,101.828,420.518,25.672,382.7371,5.769,432.713,595.084,317.695,467.36,397.108,501.6451,28.06,333.969,93.633,390.348,346.06,389.9781,212.189,75.071,263.642,109.109,202.255,76.477,406.3341,54.402,48.359,227.394,40.933,419.6461,115.728,596.3881,92.35,306.587,419.873,55.205,194.68,237.829,19.026,357.8871,146.537,423.71,180.08,194.826,244.366,420.825,69.352,188.322,428.257,104.883,232.331,172.357,411.41,38.493,188.154,418.8901,76.411,98.782,457.906,199.313,60.685,59.459,494.689,290.768,52.053,34.057,77.086,99.885,31.072,37.688,7.476,419.78,485.9231,157.421,
Emeryville,379.909,382.387,378.2791,368.216,11.373,382.15,380.874,392.713,386.012,380.691,379.629,383.019,17.936,384.397,390.621,375.979,396.942,403.864,384.545,392.095,387.843,388.4561,35.144,10.579,387.116,377.2101,3.288,383.907,387.4611,372.626,5.142,382.061,391.471,384.707,352.033,387.387,379.515,400.495,395.476,384.524,402.948,382.428,380.714,393.067,392.627,399.382,31.655,0,372.076,497.972,29.856,378.881,401.948,276.688,392.941,89.056,371.877,387.144,375.129,21.158,381.625,379.275,393.762,385.542,408.284,385.093,412.47,2.751,18.74,7.853,498.339,39.266,406.676,390.6271,49.175,397.908,403.146,64.978,23.677,389.42,195.747,497.687,24.351,399.6,102.369,421.74,364.4731,46.046,13.261,6.261,46.191,505.243,367.598,495.306,3.474,77.049,391.687,46.196,406.803,398.08,370.716,373.352,362.979,49.27,127.798,91.934,386.629,86.656,242.693,392.106,32.905,85.05,82.37,402.839,255.804,44.832,420.643,116.496,417.873,52.622,380.0921,32.998,430.068,592.4391,332.362,464.715,394.463,499.0001,39.018,380.2241,90.988,387.703,385.13,387.3331,209.544,89.738,260.997,78.455,199.61,73.832,403.6891,74.089,18.354,224.749,20.97,417.0011,113.083,593.7431,75.224,321.254,417.228,74.892,192.035,235.184,46.255,355.2421,115.883,421.065,177.435,192.181,259.033,418.18,38.698,185.677,425.612,119.55,229.686,169.712,408.765,25.131,185.509,416.2451,55.469,96.137,455.261,196.668,39.743,28.805,492.044,288.123,22.048,27.126,56.144,83.218,24.906,19.636,34.705,417.135,483.2781,154.776,
Los Angeles,7.951,10.429,6.394,8.823,383.408,10.192,16.351,20.755,14.054,8.733,15.62,21.341,389.9711,12.439,18.663,12.293,24.984,31.906,13.428,20.178,15.885,17.968,357.243,384.1071,15.157,9.318,375.633,21.669,21.516,16.029,378.67,10.832,19.513,14.578,23.378,15.201,10.115,28.537,24.213,12.566,30.99,20.681,13.48,21.108,20.669,27.465,376.496,373.6781,0,126.014,378.493,7.764,29.99,104.701,20.983,327.1591,10.313,15.227,8.569,387.121,9.708,61.451,21.804,19.574,36.326,13.176,40.512,372.145,387.83,369.113,126.381,387.891,34.718,22.179,342.251,25.95,32.924,397.341,384.4081,18.303,206.204,125.729,382.5211,30.479,304.871,49.782,66.173,351.161,362.9641,379.7891,346.238,133.285,9.577,123.348,372.749,342.212,19.729,353.011,34.845,26.122,11.763,10.971,11.713,422.798,278.569,401.159,14.671,308.668,175.073,20.148,367.78,319.832,313.205,30.881,165.429,341.466,48.685,323.784,45.915,347.389,16.722,365.655,58.11,220.896,84.205,92.757,24.433,127.042,346.781,68.049,288.048,17.673,63.613,23.644,210.572,305.772,136.328,384.759,206.756,338.371,36.095,347.432,367.829,187.176,394.498,50.424,282.372,222.2,354.244,95.352,45.27,344.188,203.93,171.597,355.175,56.942,424.996,52.962,218.743,212.453,158.464,46.222,402.1901,193.54,53.654,287.679,190.893,234.764,41.737,398.6581,223.444,46.153,428.997,299.554,83.303,198.864,413.2711,390.293,120.086,104.617,371.522,353.526,429.6721,361.779,398.433,393.163,362.791,47.043,103.08,240.747,
National City,120.062,118.702,121.233,132.448,505.964,117.057,122.875,107.855,120.12,119.424,124.283,124.953,512.527,121.077,111.92,128.482,103.951,93.602,133.169,119.975,114.383,129.317,479.799,506.663,109.428,126.349,498.189,124.098,119.8,138.532,501.226,136.337,110.213,120.28,145.934,118.754,139.058,99.021,110.234,113.95,98.713,125.657,137.095,106.832,111.381,108.95,499.052,496.234,124.702,0,501.049,124.794,101.796,227.257,104.24,449.7151,133.17,116.447,126.246,509.677,118.673,185.075,105.569,122.504,96.796,121.5,90.912,494.701,510.386,491.669,16.563,510.4471,90.583,125.835,464.807,100.283,120.705,519.897,506.964,127.96,328.76,9.896,505.077,117.504,427.427,78.274,188.729,473.717,485.52,502.345,468.794,8.42,132.132,11.081,495.305,464.768,107.591,475.567,94.443,103.724,135.302,142.969,134.269,545.354,401.125,523.7149,113.994,431.224,298.697,109.709,490.336,442.388,435.761,95.668,289.053,464.022,77.198,446.34,80.312,469.9451,137.107,488.2111,70.015,125.637,207.829,44.366,110.242,2.955,469.337,191.673,410.604,115.505,187.237,129.505,333.128,428.328,258.884,507.315,329.312,460.927,118.458,469.9881,490.385,309.732,517.054,111.216,404.928,123.041,476.8,218.976,79.509,466.744,326.486,294.153,477.731,179.498,547.552,107.776,341.299,335.009,282.088,84.542,524.7461,316.096,74.551,410.235,313.449,357.32,115.91,521.2141,346,105.906,551.553,422.1101,42.098,321.42,535.8271,512.8489,5.121,227.173,494.078,476.082,552.228,484.335,520.989,515.7191,485.347,99.606,34.974,363.303,
San Mateo,384.621,387.099,382.991,372.928,21.727,386.862,385.586,397.425,390.724,385.403,384.341,387.731,17.073,389.109,395.333,380.691,401.6541,408.576,389.257,396.807,392.5551,393.1681,12.911,38.48,391.828,381.9221,32.898,388.619,392.1731,377.338,33.043,386.773,396.183,389.419,356.745,392.099,384.2271,405.207,400.188,389.2361,407.66,387.14,385.426,397.779,397.339,404.094,3.404,29.445,376.788,502.684,0,383.593,406.66,281.4,397.653,69.251,376.589,391.856,379.841,11.737,386.337,344.033,398.474,390.254,412.996,389.805,417.182,30.407,12.446,27.375,503.051,67.167,411.388,395.3391,32.788,402.62,407.858,92.879,9.024,394.132,200.459,502.399,7.137,404.312,87.583,426.452,369.1851,21.817,22.755,34.162,26.611,509.9551,372.31,500.018,33.533,57.244,396.399,18.849,411.515,402.792,375.428,378.064,367.691,69.642,113.013,119.835,391.341,91.368,227.908,396.8181,3.47,89.762,87.082,407.551,241.018,29.656,425.355,101.71,422.585,25.554,384.8041,5.651,434.78,597.1511,317.5771,469.427,399.175,503.7121,27.942,333.851,95.7,392.415,345.942,392.0451,214.256,74.953,265.709,106.356,204.322,78.544,408.4011,54.284,50.426,229.461,40.362,421.7131,117.795,598.4551,94.417,306.469,421.94,55.087,196.747,239.896,18.908,359.9541,143.784,425.777,182.147,196.893,244.248,422.892,66.599,190.389,430.324,104.765,234.398,174.424,413.477,37.922,190.221,420.9571,75.84,100.849,459.973,201.38,60.114,56.706,496.756,292.835,54.12,36.124,76.515,101.952,30.501,37.117,7.358,421.847,487.9901,159.488,
Monterey Park,8.978,11.455,11.57,16.162,388.8,7.38,24.466,21.749,15.08,9.76,23.735,29.384,395.363,13.465,19.657,20.408,25.978,32.9,6.831,13.024,16.911,11.371,362.635,389.499,16.152,2.585,381.025,29.844,29.631,23.619,384.062,4.235,20.507,22.693,28.77,18.434,3.382,29.531,25.24,13.561,31.984,28.796,6.883,22.103,21.663,21.693,381.888,379.07,8.416,127.008,383.885,0,30.918,110.093,21.977,332.551,17.903,9.337,4.754,392.513,3.84,70.054,22.798,27.689,37.32,7.327,41.506,377.537,393.222,374.505,127.375,393.283,35.712,15.582,347.643,26.944,26.327,402.733,389.8,11.706,211.596,126.723,387.913,23.882,310.263,50.776,71.565,356.553,368.356,385.181,351.63,134.279,14.968,124.342,378.141,347.604,20.723,358.403,35.839,27.116,20.389,6.493,17.105,428.19,284.521,406.551,10.425,314.06,183.676,21.142,373.172,325.224,319.157,31.875,174.032,346.858,49.679,329.176,46.909,352.781,10.125,371.047,59.104,214.299,92.808,93.751,24.327,128.036,352.1729,76.652,293.44,23.971,72.216,17.047,215.964,311.724,141.72,390.151,212.148,343.763,29.498,352.824,373.221,192.568,399.89,43.827,287.764,215.603,359.636,103.955,46.264,349.58,209.322,176.989,360.567,62.334,430.388,46.365,224.135,217.845,167.067,47.216,407.582,198.932,54.648,293.071,196.285,240.156,35.14,404.05,228.836,39.556,434.389,304.946,84.297,204.256,418.663,395.685,121.08,110.009,376.914,358.918,435.064,367.171,403.825,398.555,368.183,40.446,106.589,246.139,
Placentia,25.78,24.42,26.95,38.165,411.681,22.774,33.009,19.738,25.802,25.141,34.202,33.677,418.244,26.759,17.602,35.039,13.454,9.687,27.31,19.863,20.065,25.384,385.516,412.38,15.145,31.698,403.906,34.137,33.774,44.249,406.943,27.792,15.895,28.642,51.651,24.436,30.124,11.478,29.574,19.667,14.228,34.202,29.866,12.514,19.608,8.839,404.769,401.951,30.419,103.791,406.766,30.997,0,132.974,9.922,355.4321,38.533,22.164,31.963,415.394,24.39,90.792,14.529,32.093,22.754,24.274,18.095,400.418,416.103,397.386,104.158,416.164,12.245,21.902,370.524,5.706,22.921,425.614,412.681,24.027,234.477,103.506,410.794,17.866,333.144,27.559,94.446,379.434,391.237,408.062,374.511,111.062,37.849,101.125,401.022,370.485,13.309,381.284,16.412,3.878,41.019,39.238,39.986,451.071,306.842,429.432,15.507,336.941,204.414,15.391,396.053,348.105,341.478,5.778,194.77,369.739,26.462,352.057,23.692,375.662,33.376,393.928,35.887,201.771,113.546,70.534,26.218,104.819,375.054,97.39,316.321,28.306,92.954,25.774,238.845,334.045,164.601,413.032,235.029,366.644,26.092,375.705,396.102,215.449,422.771,40.111,310.645,203.075,382.5171,124.693,23.047,372.461,232.203,199.87,383.448,85.215,453.269,42.959,247.016,240.726,187.805,23.999,430.463,221.813,31.431,315.9521,219.166,263.037,31.734,426.931,251.717,29.024,457.27,327.8271,61.08,227.137,441.544,418.566,97.863,132.89,399.795,381.799,457.945,390.052,426.7061,421.436,391.064,20.391,86.534,269.02,
